short_name,long_name,dob,club,overall,potential,value_eur,wage_eur,team_position,preferred_foot,influencer
R. Tone,ryosuke tone,1991-10-29,Oita Trinita,. 61   ,63,260000,1000,RES,Right,False
V. Rață,vadim rață,1993-05-05,Chindia Târgovişte,. 61   ,63,270000,1000,SUB,Right,False
S. Ando,安藤 骏介,1990-08-10,Kawasaki Frontale,. 61   ,62,210000,1000,RES,Right,False
M. O'Brien,mark o'brien,1992-11-20,Newport County,. 61   ,62,260000,2000,RCB,Right,False
R. Murray,RONAN MURRAY,1991-09-12,Sligo Rovers,. 61   ,62,290000,1000,SUB,Right,False
C. Clay,craig clay,1992-05-05,Leyton Orient,. 61   ,62,280000,3000,RCM,Right,False
J. Keohane,jimmy keohane,1991-01-22,Rochdale,. 61   ,62,250000,1000,RB,Right,False
B. Meredith,bryan meredith,1989-08-02,Seattle Sounders FC,. 61   ,62,200000,1000,SUB,Right,False
J. Tjørnelund,jacob tjørnelund,1991-12-31,Hobro IK,. 61   ,62,250000,2000,SUB,Left,False
A. Amadi-Holloway,Aaron amadi-holloway,1993-02-21,Brisbane Roar,. 61   ,62,300000,1000,RM,Right,False
H. Toivomäki,henri toivomäki,1992-02-21,HJK Helsinki,. 61   ,62,250000,1000,RCB,Right,False
M. Sørensen,Marc  rochester sørensen,1992-12-13,Silkeborg IF,. 61   ,62,300000,2000,RM,Right,False
F. Pinteaux,Florian pinteaux,1992-02-04,FC Chambly Oise,. 61   ,62,250000,1000,RES,Left,False
Moyita,sergio dueñas ruiz,1992-09-11,RCD Mallorca,. 61   ,62,300000,4000,RES,Right,False
Liu Yang,刘洋,1991-02-09,Tianjin TEDA FC,. 61   ,62,250000,3000,LCB,Right,False
L. Lozoya,luis alberto lozoya mendoza,1993-04-10,Tiburones Rojos de Veracruz,. 61   ,62,260000,2000,SUB,Left,False
Feng Jing,冯劲,1993-08-14,Chongqing Dangdai Lifan FC SWM Team,. 61   ,62,300000,2000,RES,Right,False
D. Cortés,david cortés,1992-05-02,Jaguares de Córdoba,. 61   ,62,290000,1000,SUB,Right,False
V. Golemić,VLADIMIR GOLEMIĆ,1991-06-28,Crotone,. 61   ,62,250000,1000,SUB,Right,False
M. Hofrath,mARCEL HOFRATH,1993-03-21,SV Waldhof Mannheim,. 61   ,62,260000,1000,SUB,Left,False
M. Currarino,Michele currarino,1992-08-06,Virtus Entella,. 61   ,62,300000,1000,RES,Left,False
B. Kindsvater,Benjamin kindsvater,1993-02-08,TSV 1860 München,. 61   ,62,300000,1000,RM,Left,False
N. Albadawi,Nazmi albadawi,1991-08-24,FC Cincinnati,. 61   ,62,290000,2000,RES,Right,False
J. Portillo,Justin portillo,1992-09-09,Real Salt Lake,. 61   ,62,290000,2000,SUB,Right,False
Sanz,rodrigo sanz garro,1993-03-29,CD Mirandés,. 61   ,62,300000,2000,SUB,Right,False
D. Bulman,DANNIE BULMAN,1979-01-24,Crawley Town,. 61   ,61,0,1000,CDM,Right,False
X. Pinoteau,xavier pinoteau,1983-02-12,FC Chambly Oise,. 61   ,61,40000,1000,SUB,Right,False
P. Jones,PAUL JONES,1986-06-28,Sheffield Wednesday,. 61   ,61,140000,4000,RES,Right,False
C. O'Grady,chris o'grady,1986-01-25,Oldham Athletic,. 61   ,61,160000,3000,SUB,Right,False
D. Flinta,DENNIS FLINTA,1983-11-14,Silkeborg IF,. 61   ,61,80000,1000,SUB,Right,False
M. Moström,Mattias moström,1983-02-25,Molde FK,. 61   ,61,80000,1000,SUB,Right,False
Kim Seung Yong,김승용 金胜永,1985-03-14,Incheon United FC,. 61   ,61,130000,1000,SUB,Right,False
T. Soares,tom soares,1986-07-10,Stevenage,. 61   ,61,190000,2000,RCM,Right,False
J. O'Brien,JOEY O'BRIEN,1986-02-17,Shamrock Rovers,. 61   ,61,110000,1000,LB,Right,False
M. McGlinchey,michael mcglinchey,1987-01-07,Central Coast Mariners,. 61   ,61,200000,1000,SUB,Right,False
E. Nolan,eDDIE NOLAN,1988-08-05,Crewe Alexandra,. 61   ,61,200000,3000,LCB,Right,False
H. Ramírez,HORACIO MARTÍN RAMÍREZ,1984-03-21,Unión Magdalena,. 61   ,61,70000,1000,GK,Right,False
G. Coke,Giles coke,1986-06-03,Oldham Athletic,. 61   ,61,150000,2000,SUB,Right,False
A. Vanins,aNDRIS VAŅINS,1980-04-30,FC Zürich,. 61   ,61,30000,1000,SUB,Right,False
S. Old,Steven old,1986-02-17,Morecambe,. 61   ,61,120000,2000,LCB,Right,False
D. Vržogić,David vržogić,1989-08-10,SV Meppen,. 61   ,61,210000,1000,SUB,Left,False
J. McNulty,JIM MCNULTY,1985-02-13,Rochdale,. 61   ,61,90000,1000,LCB,Left,False
J. Harris,jay harris,1987-04-15,Macclesfield Town,. 61   ,61,190000,2000,LCM,Right,False
Cui Peng,崔鹏,1987-05-31,Shandong Luneng TaiShan FC,. 61   ,61,160000,3000,SUB,Right,False
Liu Zhenli,刘震理,1985-06-26,Shandong Luneng TaiShan FC,. 61   ,61,110000,2000,RES,Right,False
Liu Weidong,刘卫东,1987-01-29,Chongqing Dangdai Lifan FC SWM Team,. 61   ,61,200000,2000,SUB,Right,False
Zhang Lu,张鹭,1987-09-06,Tianjin Quanjian FC,. 61   ,61,160000,3000,GK,Right,False
Lei Yongchi,雷永驰,1989-01-02,Tianjin TEDA FC,. 61   ,61,240000,3000,SUB,Right,False
K. Etuhu,KELVIN ETUHU,1988-05-30,Carlisle United,. 61   ,61,190000,2000,SUB,Right,False
B. Tozer,ben peter anthony tozer,1990-03-01,Cheltenham Town,. 61   ,61,210000,2000,CB,Right,False
A. Maccoppi,andrea maccoppi,1987-01-22,Servette FC,. 61   ,61,160000,2000,SUB,Right,False
Zhou Yajun,YAJUN ZHOU,1984-10-17,Shenzhen FC,. 61   ,61,110000,2000,SUB,Right,False
S. Frederiksen,sØREN FREDERIKSEN,1989-07-08,SønderjyskE,. 61   ,61,250000,3000,RES,Left,False
João Pereira,JOÃO DUARTE VIEIRA PEREIRA,1990-05-10,SønderjyskE,. 61   ,61,210000,2000,SUB,Left,False
T. Miller,tom miller,1990-06-29,Bury,. 61   ,61,210000,1000,SUB,Right,False
J. McGlashan,jermaine mcglashan,1988-04-14,Swindon Town,. 61   ,61,220000,3000,SUB,Right,False
Feng Renliang,冯仁亮,1988-05-12,Beijing Renhe FC,. 61   ,61,220000,3000,SUB,Right,False
R. Siemaszko,rafał siemaszko,1986-09-11,Arka Gdynia,. 61   ,61,200000,1000,SUB,Right,False
Choi Hyun Tae,최현태 崔玄态,1987-09-15,Jeju United FC,. 61   ,61,220000,1000,RES,Right,False
M. Dolan,Matthew dolan,1993-02-11,Newport County,. 61   ,61,270000,2000,LCM,Left,False
F. Adjei,felix adjei,1990-12-17,WSG Tirol,. 61   ,61,250000,2000,LWB,Left,False
O. Sveen,ole amund sveen,1990-01-05,FK Bodø/Glimt,. 61   ,61,240000,1000,SUB,Right,False
Park Sun Yong,박선용 朴宣勇,1989-03-12,Pohang Steelers,. 61   ,61,230000,2000,RES,Right,False
N. Fitzgerald,NICK FITZGERALD,1992-02-13,Newcastle Jets,. 61   ,61,260000,1000,LM,Right,False
M. Al Qarni,mohammed al qarni,1989-11-24,Al Wehda,. 61   ,61,220000,4000,SUB,Right,False
H. Shaian,Hussain abdoh al shaian,1989-05-23,Al Taawoun,. 61   ,61,170000,3000,SUB,Right,False
M. Hazazi,mAJED HAZAZI,1988-03-19,Damac FC,. 61   ,61,180000,3000,RB,Right,False
A. Khrees,AWADH ALI KHREES,1991-01-05,Al Faisaly,. 61   ,61,220000,4000,SUB,Right,False
M. Majrashi,MOHAMMED MAJRASHI,1991-05-20,Al Fateh,. 61   ,61,260000,6000,SUB,Right,False
A. Majrashi,Abdulaziz majrashi,1991-07-21,Al Fayha,. 61   ,61,220000,3000,SUB,Right,False
T. Vollnhofer,thomas vollnhofer,1984-09-02,SKN St. Pölten,. 61   ,61,110000,2000,SUB,Right,False
A. Al Saleh,abdullah al saleh,1989-10-15,Ettifaq FC,. 61   ,61,180000,4000,SUB,Right,False
Park Hee Seong,박의성 朴熙胜,1990-04-07,FC Seoul,. 61   ,61,250000,2000,RES,Right,False
J. Matt,JAMILLE MATT,1989-10-20,Newport County,. 61   ,61,250000,3000,RS,Right,False
Jwa Joon Hyeop,좌준협 左峻协,1991-05-07,Gyeongnam FC,. 61   ,61,250000,1000,RES,Right,False
Kim Tae Ho,김태호 tae ho kim,1989-09-22,Incheon United FC,. 61   ,61,210000,1000,RES,Right,False
Jung Seon Ho,정선호 郑顺浩,1989-03-25,Daegu FC,. 61   ,61,210000,1000,SUB,Left,False
Jo Soo Chul,조수철 赵秀哲,1990-10-30,Sangju Sangmu FC,. 61   ,61,250000,1000,SUB,Right,False
C. Elliott,CHRISTIE ELLIOTT,1991-05-26,Carlisle United,. 61   ,61,220000,2000,RB,Right,False
A. Arboleda,andrés felipe arboleda hurtado,1987-04-13,Jaguares de Córdoba,. 61   ,61,160000,1000,SUB,Right,False
J. Vieyra,juan vieyra,1992-04-20,Club Atlético Huracán,. 61   ,61,260000,3000,SUB,Right,False
J. Thorsen,jonas thorsen,1990-04-19,AC Horsens,. 61   ,61,240000,2000,LM,Right,False
Zhang Lie,张烈,1982-05-25,Beijing Renhe FC,. 61   ,61,30000,1000,GK,Right,False
Ely,eLY ERNESTO LOPES FERNANDES,1990-11-04,Gaz Metan Mediaş,. 61   ,61,250000,2000,SUB,Right,False
K. Al Kaabi,Khalid hussain al kabi,1992-05-24,Al Faisaly,. 61   ,61,260000,4000,RM,Right,False
M. O'Sullivan,MARK O’SULLIVAN,1983-02-01,Cork City,. 61   ,61,90000,1000,SUB,Right,False
Zhou Tong,TONG ZHOU,1990-01-12,Wuhan Zall,. 61   ,61,250000,2000,SUB,Left,False
Bai Yuefeng,白磊,1987-03-28,Tianjin TEDA FC,. 61   ,61,160000,3000,RB,Right,False
K. Akyüz,kEREM CAN AKYÜZ,1989-07-01,Denizlispor,. 61   ,61,200000,4000,SUB,Left,False
N. Mousa,naif mousa,1986-11-21,Al Hazem,. 61   ,61,160000,2000,SUB,Left,False
N. Atangana,Nigel atangana,1989-09-09,Exeter City,. 61   ,61,240000,3000,SUB,Right,False
L. Marić,Luka marić,1987-04-25,Arka Gdynia,. 61   ,61,160000,1000,RES,Right,False
Jiang Jihong,姜积弘,1990-02-08,Guangzhou R&F FC,. 61   ,61,210000,3000,LCB,Right,False
W. Mosquera,wílder mosquera romaña,1985-01-21,Atlético Huila,. 61   ,61,110000,1000,SUB,Right,False
K. Garcia,kevin garcia,1990-08-21,Houston Dynamo,. 61   ,61,220000,1000,SUB,Left,False
S. Al Masrahi,sultan mohammed al masrahi,1987-05-31,Damac FC,. 61   ,61,160000,3000,SUB,Right,False
G. Reilly,GAVIN REILLY,1993-05-10,Cheltenham Town,. 61   ,61,280000,3000,SUB,Right,False
R. Takahashi,髙橋 諒,1993-07-16,Matsumoto Yamaga,. 61   ,61,270000,1000,LM,Left,False
I. Isa,Ismail isa,1989-06-26,Bulgaria,. 61   ,61,0,0,,Right,False
S. Lewicki,szymon lewicki,1988-04-05,Raków Częstochowa,. 61   ,61,230000,1000,SUB,Right,False
F. Ali,FERID ALI,1992-04-07,AFC Eskilstuna,. 61   ,61,260000,1000,LM,Right,False
H. Nakabayashi,中林 洋次,1986-04-28,Yokohama F. Marinos,. 61   ,61,140000,1000,SUB,Left,False
Wang Wei,王伟,1989-06-22,Shanghai Greenland Shenhua FC,. 61   ,61,240000,3000,SUB,Left,False
D. Lloyd,DANNY LLOYD,1991-12-03,Salford City,. 61   ,61,260000,4000,SUB,Left,False
Zhang Cheng,张诚,1989-06-28,Tianjin Quanjian FC,. 61   ,61,200000,3000,RB,Right,False
A. Al Fiqi,AHMED AL FIQI,1992-12-31,Al Hilal,. 61   ,61,270000,6000,RES,Left,False
W. Piñones,wILSON PIÑONES,1988-04-07,Deportes Iquique,. 61   ,61,180000,1000,LB,Right,False
E. Kupen,eNDRE KUPEN,1990-07-01,FK Bodø/Glimt,. 61   ,61,250000,1000,SUB,Right,False
Ma Xingyu,马兴煜,1989-11-04,Henan Jianye FC,. 61   ,61,240000,3000,SUB,Right,False
P. Di Nardo,pietro di nardo,1990-02-08,Neuchâtel Xamax,. 61   ,61,220000,2000,CDM,Right,False
Javi Pérez,JAVIER PÉREZ PÁEZ,1986-01-27,Extremadura UD,. 61   ,61,150000,1000,RES,Left,False
T. Englund,tOBIAS ENGLUND,1989-02-06,Falkenbergs FF,. 61   ,61,200000,1000,SUB,Left,False
L. Hroššo,Lukáš hroššo,1987-04-19,Cracovia,. 61   ,61,150000,1000,SUB,Right,False
Liu Yi,yi liu,1988-08-26,Wuhan Zall,. 61   ,61,200000,2000,LCB,Left,False
M. Pleașcă,Marian pleașcă,1990-02-06,Gaz Metan Mediaş,. 61   ,61,210000,2000,RB,Right,False
R. Dâlbea,Răzvan dâlbea,1981-10-08,FC Hermannstadt,. 61   ,61,80000,1000,RDM,Right,False
N. Bădic,NARCIS BĂDIC,1991-07-15,Politehnica Iaşi,. 61   ,61,220000,2000,SUB,Left,False
O. Ceylan,oĞUZ CEYLAN,1990-12-15,Gazişehir Gaziantep F.K.,. 61   ,61,220000,3000,SUB,Right,False
B. Șandru,bogdan șandru,1989-07-04,Chindia Târgovişte,. 61   ,61,210000,1000,SUB,Left,False
C. Dinu,CORNEL DINU,1989-06-09,Chindia Târgovişte,. 61   ,61,200000,1000,SUB,Left,False
D. Novac,DANIEL NOVAC,1987-09-26,Chindia Târgovişte,. 61   ,61,220000,1000,CDM,Right,False
A. Marinescu,ANDREI MARINESCU,1985-02-11,Universitatea Craiova,. 61   ,61,110000,1000,SUB,Right,False
A. Țigănașu,ALEXANDRU ȚIGĂNAȘU,1990-06-12,FC Botoşani,. 61   ,61,210000,2000,LB,Left,False
D. Pillai,devindra pillai,1988-06-22,India,. 61   ,61,0,0,,Right,False
A. Velasco,ALAN VELASCO,2002-07-27,Independiente,. 60   ,83,450000,1000,SUB,Right,False
M. Bird,MAX BIRD,2000-09-18,Derby County,. 60   ,82,475000,2000,SUB,Left,False
Y. Begraoui,YANIS BEGRAOUI,2001-07-04,AJ Auxerre,. 60   ,82,450000,1000,RES,Right,False
A. Bella-Kotchap,aRMEL BELLA-KOTCHAP,2001-12-11,VfL Bochum 1848,. 60   ,82,425000,1000,SUB,Right,False
C. Haydar,césar haydar,2001-03-31,Junior FC,. 60   ,82,450000,1000,SUB,Right,False
E. Alvarez,EFRAIN ALVAREZ,2002-06-19,LA Galaxy,. 60   ,81,450000,1000,SUB,Left,False
A. Balanta,Andrés felipe balanta cifuentes,2000-01-18,Deportivo Cali,. 60   ,80,425000,1000,CDM,Right,False
G. Innocent,Garissone innocent,2000-04-16,Paris Saint-Germain,. 60   ,80,375000,3000,SUB,Right,False
E. Sørensen,Elias sørensen,1999-09-18,Carlisle United,. 60   ,80,450000,2000,SUB,Right,False
S. Sohm,Simon sohm,2001-04-11,FC Zürich,. 60   ,80,400000,1000,SUB,Right,False
S. Bajic,STEFAN BAJIC,2001-12-23,AS Saint-Étienne,. 60   ,80,350000,1000,SUB,Right,False
P. Glatzel,PAUL GLATZEL,2001-02-20,Liverpool,. 60   ,80,425000,5000,RES,Left,False
V. De Baunbag,VICTOR DE BAUNBAG,2000-08-05,RCD Mallorca,. 60   ,80,425000,2000,RES,Right,False
I. Gruev,ILIA GRUEV,2000-05-06,SV Werder Bremen,. 60   ,80,425000,2000,RES,Left,False
A. Hickey,AARON HICKEY,2002-06-10,Heart of Midlothian,. 60   ,80,375000,1000,LB,Right,False
M. Mercan,MÜNIR MERCAN,2000-12-10,FC Schalke 04,. 60   ,80,425000,2000,RES,Right,False
J. Latibeaudiere,Joel latibeaudiere,2000-01-06,Manchester City,. 60   ,79,425000,7000,RES,Right,False
B. Wilmot,ben wilmot,1999-11-04,Swansea City,. 60   ,79,425000,2000,SUB,Right,False
A. Karnuçu,Abdussamed karnuçu,2000-02-04,Galatasaray SK,. 60   ,79,425000,4000,SUB,Right,False
A. Lewis,adam lewis,1999-11-08,Liverpool,. 60   ,79,400000,5000,RES,Left,False
C. Bassett,COLE BASSETT,2001-07-28,Colorado Rapids,. 60   ,79,400000,1000,SUB,Right,False
N. Djouahra,näis djouahra,1999-11-23,Real Sociedad,. 60   ,79,450000,2000,RES,Right,False
D. Vlahovic,Dusan vlahovic,2000-01-28,Fiorentina,. 60   ,79,450000,5000,SUB,Left,False
A. van der Heide,Arjen van der heide,2001-11-19,SC Heerenveen,. 60   ,79,400000,1000,SUB,Left,False
K. Sardella,KILLIAN SARDELLA,2002-05-02,RSC Anderlecht,. 60   ,79,375000,1000,RB,Right,False
P. Bargiel,pRZEMYSŁAW BARGIEL,2000-03-26,Milan,. 60   ,78,450000,3000,RES,Right,False
L. Sandoval,Luis sandoval,1999-06-01,Junior FC,. 60   ,78,450000,1000,RES,Right,False
E. Balcombe,Ellery balcombe,1999-10-15,Brentford,. 60   ,78,375000,2000,RES,Right,False
K. Klaesson,Kristoffer klaesson,2000-11-27,Vålerenga Fotball,. 60   ,78,350000,1000,SUB,Left,False
M. Bułka,marcin bułka,1999-10-04,Paris Saint-Germain,. 60   ,78,375000,3000,SUB,Right,False
S. Laiton,sonny patrick laiton,2000-01-28,AJ Auxerre,. 60   ,78,375000,1000,SUB,Right,False
B. Adekanye,Bobby adekanye,1999-02-14,Lazio,. 60   ,78,450000,5000,RES,Left,False
V. Kušej,VASIL KUŠEJ,2000-05-24,SG Dynamo Dresden,. 60   ,78,450000,2000,RES,Left,False
B. Garré,bENJAMÍN GARRÉ,2000-07-11,Manchester City,. 60   ,78,425000,6000,RES,Left,False
G. Corbo,gabriele corbo,2000-01-11,Bologna,. 60   ,78,425000,2000,SUB,Right,False
J. Scott,JAMES SCOTT,2000-08-30,Motherwell,. 60   ,78,425000,1000,ST,Right,False
J. Peñaloza,JUAN PEÑALOZA,2000-05-03,SD Huesca,. 60   ,78,450000,1000,RES,Right,False
F. Navarro,FEDERICO NAVARRO,2000-03-09,Club Atlético Talleres,. 60   ,78,450000,2000,SUB,Right,False
F. Hartmann,fABRICE HARTMANN,2001-03-02,RB Leipzig,. 60   ,78,425000,3000,RES,Right,False
I. Tarasov,Ivan tarasov,2000-01-30,HJK Helsinki,. 60   ,78,450000,1000,RES,Right,False
T. Raschl,Tobias raschl,2000-02-21,Borussia Dortmund,. 60   ,78,425000,4000,RES,Right,False
Lee Soo Bin,이수빈 soo bin lee,2000-05-07,Pohang Steelers,. 60   ,78,450000,1000,CAM,Right,False
G. Ahadme,gassan ahadme,2000-11-17,Norwich City,. 60   ,78,425000,3000,RES,Right,False
L. Greiml,leo greiml,2001-07-03,SK Rapid Wien,. 60   ,78,375000,1000,RES,Right,False
Jesús Alvarez,JESÚS ALVAREZ AGUADO,1999-11-17,Real Zaragoza,. 60   ,78,425000,1000,RES,Right,False
B. Bida,BARTOSZ BIDA,2001-02-21,Jagiellonia Białystok,. 60   ,78,425000,1000,LM,Right,False
W. Taïbi,WANISS TAÏBI,2002-01-01,Angers SCO,. 60   ,78,400000,1000,RES,Right,False
A. Martina,alessandro martina,2000-11-17,Trapani,. 60   ,78,400000,1000,RES,Left,False
T. Baack,TOM BAACK,1999-03-13, SSV Jahn Regensburg,. 60   ,77,425000,2000,SUB,Right,False
J. Pereyra,JOAQUÍN PEREYRA,1998-12-01,Rosario Central,. 60   ,77,450000,2000,SUB,Left,False
G. Güney,GÖKAY GÜNEY,1999-05-19,Galatasaray SK,. 60   ,77,425000,6000,RES,Right,False
B. Morris,ben morris,1999-07-06,Ipswich Town,. 60   ,77,450000,2000,RES,Right,False
R. Sears,RYAN SEARS,1998-12-30,Shrewsbury,. 60   ,77,425000,1000,SUB,Right,False
B. Şen,batuhan ahmet şen,1999-02-03,Galatasaray SK,. 60   ,77,375000,4000,RES,Right,False
O. Brynhildsen,ola brynhildsen,1999-04-27,Stabæk Fotball,. 60   ,77,450000,1000,SUB,Right,False
E. Vertainen,Eetu vertainen,1999-05-11,HJK Helsinki,. 60   ,77,450000,1000,SUB,Right,False
S. Szota,serafin szota,1999-03-04,Wisła Kraków,. 60   ,77,425000,1000,SUB,Right,False
B. Galván,braian alejandro galván,2000-10-06,Club Atlético Colón,. 60   ,77,425000,1000,RES,Right,False
J. Lahne,JACK LAHNE,2001-10-24,Amiens SC,. 60   ,77,425000,1000,SUB,Right,False
K. Sessa,kevin sessa,2000-07-06,1. FC Heidenheim 1846,. 60   ,77,425000,1000,SUB,Right,False
R. Edmondson,Ryan edmondson,2001-05-20,Leeds United,. 60   ,77,425000,4000,RES,Right,False
A. Nava,antonio nava,1999-09-09,Club Tijuana,. 60   ,77,450000,2000,SUB,Right,False
A. Tripaldelli,Alessandro tripaldelli,1999-02-09,Sassuolo,. 60   ,77,425000,5000,RES,Left,False
Algobia,ÁNGEL ALGOBIA ESTEVES,1999-06-23,Rayo Vallecano,. 60   ,77,450000,1000,RES,Right,False
K. Cannavò,kevin cannavò,2000-02-09,Empoli,. 60   ,77,450000,1000,SUB,Right,False
H. Luna,HERNAN LUNA,1999-11-11,Unión Magdalena,. 60   ,77,450000,1000,RM,Right,False
A. Ayala,andrés ayala,2000-03-13,Estudiantes de La Plata,. 60   ,77,425000,1000,SUB,Left,False
C. Aguirre,César aguirre,1999-03-24,Club Necaxa,. 60   ,77,450000,2000,RES,Right,False
Elias Ramírez,ELIAS RAMÍREZ GARCÍA,1999-04-23,RCD Mallorca,. 60   ,77,375000,2000,RES,Right,False
Jara,rOBERTO JARA FERNANDEZ,1998-09-10,CD Numancia,. 60   ,77,375000,1000,RES,Right,False
T. Nkada,TIMOTHÉ NKADA,1999-07-20,Stade de Reims,. 60   ,77,450000,3000,RES,Right,False
T. Sabitzer,Thomas sabitzer,2000-10-12,LASK Linz,. 60   ,77,425000,1000,SUB,Right,False
Carlos Kevin,CARLOS KEVIN OMORUYI BENJAMIN,2001-01-01,SD Huesca,. 60   ,77,425000,1000,RES,Right,False
A. Dallas,aNDREW DALLAS,1999-07-22,Cambridge United,. 60   ,77,450000,1000,LS,Right,False
P. Mukairu,Paul omo mukairu,2000-01-18,Antalyaspor,. 60   ,77,450000,2000,SUB,Left,False
F. Çetinkaya,furkan çetinkaya,2001-01-21,Kasimpaşa SK,. 60   ,77,400000,1000,SUB,Right,False
D. Duhaney,Demeaco duhaney,1998-10-13,Huddersfield Town,. 60   ,76,425000,3000,RES,Right,False
E. Embleton,ELLIOT EMBLETON,1999-04-02,Sunderland,. 60   ,76,450000,2000,CAM,Right,False
S. Lomónaco,sebastián lomónaco,1998-09-17,Godoy Cruz,. 60   ,76,450000,2000,SUB,Right,False
S. Stubbs,Sam stubbs,1998-11-20,Hamilton Academical FC,. 60   ,76,425000,1000,SUB,Right,False
F. Myhre,felix horn myhre,1999-03-04,Vålerenga Fotball,. 60   ,76,425000,1000,SUB,Right,False
E. Botheim,Erik botheim,2000-01-10,Rosenborg BK,. 60   ,76,450000,1000,SUB,Right,False
J. Moder,jAKUB MODER,1999-04-07,Lech Poznań,. 60   ,76,450000,1000,SUB,Right,False
P. Sussek,patrick sussek,2000-02-08,FC Ingolstadt 04,. 60   ,76,450000,1000,SUB,Right,False
O. Bailey,Odin bailey,1999-12-08,Birmingham City,. 60   ,76,450000,1000,RES,Left,False
I. Ogbu,igoh ogbu,2000-02-08,Rosenborg BK,. 60   ,76,425000,1000,SUB,Right,False
Álvaro García,álvaro garcía segovia,2000-06-01,Albacete BP,. 60   ,76,450000,1000,RES,Left,False
A. Nguiamba,Aurélien nguiamba,1999-01-18,AS Nancy Lorraine,. 60   ,76,425000,1000,SUB,Left,False
O. Atilgan,OSMAN ATILGAN,1999-08-01,SG Dynamo Dresden,. 60   ,76,450000,2000,SUB,Right,False
A. Verda,álvaro verda,1999-01-29,Querétaro,. 60   ,76,450000,2000,RES,Right,False
M. Kaufmann,MIKKEL KAUFMANN,2001-01-03,Aalborg BK,. 60   ,76,425000,1000,LW,Right,False
M. Kumbulla,Marash kumbulla,2000-02-08,Hellas Verona,. 60   ,76,425000,1000,RES,Right,False
A. Baroan,antoine baroan,2000-06-24,Chamois Niortais Football Club,. 60   ,76,450000,1000,SUB,Left,False
E. Majetschak,ERIK MAJETSCHAK,2000-03-01,FC Erzgebirge Aue,. 60   ,76,450000,1000,RES,Right,False
K. Arima,有馬 幸太郎,2000-09-03,Kashima Antlers,. 60   ,76,425000,1000,RES,Right,False
T. Ducrocq,Tom ducrocq,1999-08-25,Racing Club de Lens,. 60   ,76,450000,1000,RES,Right,False
K. Mouanga,kévin mouanga,2000-07-24,Angers SCO,. 60   ,76,400000,1000,RES,Right,False
R. Fernández,Roberto fernández,1999-07-12,Bolivia,. 60   ,76,0,0,,Left,False
S. Soto,Sebastian soto,2000-07-28,Hannover 96,. 60   ,76,425000,2000,RES,Right,False
M. Diarra,MOUSSA DIARRA,2000-11-10,Toulouse Football Club,. 60   ,76,400000,1000,SUB,Left,False
B. Ndilu,bridge ndilu,2000-07-21,FC Nantes,. 60   ,76,425000,2000,RES,Right,False
A. Francis,ABU FRANCIS,2001-04-27,FC Nordsjælland,. 60   ,76,425000,1000,SUB,Right,False
R. Yilmaz,ridvan yilmaz,2001-05-21,Beşiktaş JK,. 60   ,76,400000,2000,RES,Left,False
C. Ainley,Callum ainley,1997-11-02,Crewe Alexandra,. 60   ,75,450000,2000,SUB,Right,False
I. Wilson,Iain wilson,1998-12-15,Kilmarnock,. 60   ,75,425000,1000,SUB,Right,False
M. Ndjoli,MIKAEL NDJOLI,1998-12-16,Gillingham,. 60   ,75,450000,2000,RM,Right,False
L. Rivas,leonel rivas,1999-12-04,Club Atlético Talleres,. 60   ,75,450000,2000,SUB,Right,False
M. Pompetti,marco pompetti,2000-05-22,Sampdoria,. 60   ,75,450000,3000,RES,Right,False
D. Desprez,didier desprez,1999-03-13,Racing Club de Lens,. 60   ,75,375000,1000,SUB,Right,False
Liu Ruofan,刘若钒,1999-01-28,Shanghai Greenland Shenhua FC,. 60   ,75,450000,2000,SUB,Right,False
I. Kanu,Idris kanu,1999-12-05,Peterborough United,. 60   ,75,450000,1000,SUB,Right,False
G. Gori,gabriele gori,1999-02-13,Fiorentina,. 60   ,75,450000,6000,RES,Left,False
M. Cerofolini,michele cerofolini,1999-01-04,Fiorentina,. 60   ,75,375000,3000,RES,Right,False
F. Murray,FRASER MURRAY,1999-05-07,Hibernian,. 60   ,75,450000,1000,SUB,Right,False
E. Chilufya,EDWARD CHILUFYA,1999-09-17,Djurgårdens IF,. 60   ,75,450000,1000,SUB,Right,False
D. Wanner,DOMINIK WANNER,1999-05-04,Borussia Dortmund,. 60   ,75,450000,7000,RES,Left,False
N. Mekonnen,Naod mekonnen,2000-01-17,SC Preußen Münster,. 60   ,75,425000,1000,SUB,Right,False
A. Gürleyen,ahmet gürleyen,1999-04-26,1. FSV Mainz 05,. 60   ,75,425000,3000,SUB,Right,False
M. Młyński,mateusz młyński,2001-01-02,Arka Gdynia,. 60   ,75,425000,1000,SUB,Right,False
M. Talbi,MONTASSAR TALBI,1998-05-26,Çaykur Rizespor,. 60   ,75,425000,2000,SUB,Right,False
M. Belkheir,Mouhamed menaour  belkheir,1999-01-02,Torino,. 60   ,75,450000,5000,RES,Left,False
F. Schwarzholz,FELIX SCHWARZHOLZ,1999-09-24,FC Augsburg,. 60   ,75,425000,2000,RES,Right,False
E. Bullaude,EZEQUIEL BULLAUDE,2000-10-26,Godoy Cruz,. 60   ,75,425000,1000,SUB,Right,False
R. Sans,rOMAIN SANS,1999-03-19,FC Sochaux-Montbéliard,. 60   ,75,425000,1000,RES,Left,False
